0 347 tensor(0.2576, device='cuda:0') tensor(0.0600, device='cuda:0')
0 348 tensor(0.2203, device='cuda:0') tensor(0.0600, device='cuda:0')
0 349 tensor(0.0780, device='cuda:0') tensor(0.0200, device='cuda:0')
0 350 tensor(0.1400, device='cuda:0') tensor(0.0600, device='cuda:0')
0 351 tensor(0.1784, device='cuda:0') tensor(0.1000, device='cuda:0')
0 352 tensor(0.1349, device='cuda:0') tensor(0.0600, device='cuda:0')
0 353 tensor(0.2437, device='cuda:0') tensor(0.1000, device='cuda:0')
0 354 tensor(0.1760, device='cuda:0') tensor(0.0400, device='cuda:0')
0 355 tensor(0.2010, device='cuda:0') tensor(0.0200, device='cuda:0')
0 356 tensor(0.0763, device='cuda:0') tensor(0., device='cuda:0')
0 357 tensor(0.2219, device='cuda:0') tensor(0.0400, device='cuda:0')
0 358 tensor(0.2783, device='cuda:0') tensor(0.0800, device='cuda:0')
